index,City,Lat,Lng,Max Temp,Cloudiness,Country,Date,Humidity,Wind Speed
349,koryazhma,61.32,47.16,18.59,64,RU,1542665028,80,6.15
350,hasaki,35.73,140.83,50,75,JP,1542661200,76,10.29
351,salcedo,19.38,-70.42,86,20,DO,1542661200,51,12.75
352,pangody,65.85,74.49,-1.75,80,RU,1542665029,70,22.48
353,valley city,46.92,-98,8.06,1,US,1542663300,71,8.05
354,leningradskiy,69.38,178.42,15.09,48,RU,1542664577,93,15.21
355,lujan,-46.57,-67.67,74.62,0,AR,1542665029,19,38.48
356,kununurra,-15.77,128.74,80.6,0,AU,1542662940,94,4.7
357,venado tuerto,-33.75,-61.97,77.45,0,AR,1542665029,52,16.33
358,hit,33.64,42.83,55.63,36,IQ,1542665029,89,2.68
359,bambanglipuro,-7.95,110.28,71.07,76,ID,1542664592,99,2.8
360,galle,29.74,-97.91,53.06,90,US,1542664260,63,9.17
361,najran,17.54,44.22,66.2,0,SA,1542661200,52,2.91
362,georgiyevka,52.25,40.45,24.58,76,RU,1542664530,91,5.48
363,paracuru,-3.41,-39.03,82.4,0,BR,1542661200,69,11.41
364,aragats,40.22,44.23,30.2,0,AM,1542663000,80,1.12
365,bakchar,57.02,82.07,8.92,88,RU,1542665031,79,5.59
366,wilmington,39.75,-75.55,51.08,1,US,1542663300,87,4.7
367,ancud,-41.87,-73.83,55.14,92,CL,1542664595,96,11.97
368,marawi,8,124.29,62.69,92,PH,1542665031,99,2.24
369,piltene,57.23,21.67,35.6,90,LV,1542664200,100,4.7
370,afikpo,5.88,7.92,78.62,64,NG,1542665032,81,9.73
371,berlevag,70.86,29.09,44.6,75,NO,1542662400,81,38.03
372,maxixe,-23.86,35.35,73.9,36,MZ,1542665032,96,6.6
373,walvis bay,-22.95,14.51,59,56,NA,1542661200,82,4.7
374,esperance,10.24,-61.45,80.6,40,TT,1542661200,88,5.82
375,san cristobal,-0.39,-78.55,57.2,75,EC,1542662400,82,6.93
376,cuamba,-14.8,36.54,67.29,92,MZ,1542665032,98,3.91
